ERS12091868	Alouatta_seniculus
ERS12091852	Alouatta_puruensis
ERS14600399	Pan_troglodytes
ERS12091869	Alouatta_seniculus
ERS12091853	Alouatta_puruensis
ERS12091854	Alouatta_puruensis
ERS12091881	Ateles_chamek
ERS12091882	Ateles_chamek
ERS12091883	Ateles_chamek
ERS12091906	Cacajao_calvus
ERS12091907	Cacajao_calvus
ERS12091908	Cacajao_calvus
ERS12091909	Cacajao_calvus
ERS14600400	Hoolock_hoolock
ERS14600401	Hoolock_hoolock
ERS14600402	Hoolock_hoolock
ERS14600403	Hoolock_hoolock
ERS14600404	Hoolock_hoolock
ERS14600405	Hoolock_hoolock
ERS14600406	Macaca_assamensis
ERS14600407	Hoolock_hoolock
ERS14600408	Hoolock_hoolock
ERS14600409	Hoolock_hoolock
ERS14600410	Hoolock_hoolock
ERS14600411	Loris_lydekkerianus
ERS14600412	Loris_lydekkerianus
ERS14600413	Macaca_arctoides
ERS14600414	Macaca_arctoides
ERS14600415	Macaca_arctoides
ERS14600416	Macaca_arctoides
ERS14600417	Hoolock_hoolock
ERS14600418	Macaca_fascicularis
ERS14600419	Macaca_fascicularis
ERS14600420	Macaca_leonina
ERS14600421	Macaca_leonina
ERS14600422	Macaca_leonina
ERS14600423	Macaca_leonina
ERS14600424	Macaca_leonina
ERS14600425	Macaca_leonina
ERS14600426	Macaca_mulatta
ERS14600427	Macaca_mulatta
ERS14600428	Macaca_mulatta
ERS14600429	Macaca_mulatta
ERS14600430	Macaca_mulatta
ERS14600431	Macaca_mulatta
ERS14600432	Macaca_radiata
ERS14600433	Macaca_radiata
ERS14600434	Macaca_radiata
ERS14600435	Macaca_radiata
ERS14600436	Macaca_radiata
ERS14600437	Macaca_radiata
ERS14600438	Macaca_radiata
ERS14600439	Macaca_radiata
ERS14600440	Macaca_radiata
ERS14600441	Macaca_radiata
ERS14600442	Macaca_radiata
ERS14600443	Macaca_radiata
ERS14600444	Macaca_radiata
ERS14600445	Macaca_silenus
ERS14600446	Macaca_silenus
ERS14600447	Macaca_silenus
ERS14600448	Macaca_silenus
ERS14600449	Macaca_silenus
ERS14600450	Macaca_silenus
ERS14600451	Macaca_silenus
ERS14600452	Macaca_silenus
ERS14600453	Macaca_silenus
ERS14600454	Macaca_silenus
ERS14600455	Macaca_silenus
ERS14600456	Macaca_silenus
ERS14600457	Macaca_silenus
ERS14600458	Nycticebus_bengalensis
ERS14600459	Nycticebus_bengalensis
ERS14600460	Nycticebus_bengalensis
